Release,UserRating,Metascore,MPAA,Genres,Director,Budget,ReleaseURL,Gross,Theaters,TotalGross,ReleaseDate,DistributorURL,Distributor,datetime,Month
Black Panther,7.3,88.0,PG-13,"['Action', 'Adventure', 'Sci-Fi', '16 February 2018 (USA)\n']","<a href=""/name/nm3363032/"">Ryan Coogler</a>","$200,000,000",/release/rl2992866817/?ref_=bo_yld_table_1,"$700,059,566","4,084","$700,059,566",Feb 16,https://pro.imdb.com/company/co0226183/boxoffice/?view=releases&ref_=mojo_yld_table_1&rf=mojo_yld_table_1,Walt Disney Studios Motion Pictures,2018-02-16,2.0
Avengers: Infinity War,8.4,68.0,PG-13,"['Action', 'Adventure', 'Sci-Fi', '27 April 2018 (USA)\n']","<a href=""/name/nm0751577/"">Anthony Russo</a>","$321,000,000",/release/rl3043198465/?ref_=bo_yld_table_2,"$678,815,482","4,474","$678,815,482",Apr 27,https://pro.imdb.com/company/co0226183/boxoffice/?view=releases&ref_=mojo_yld_table_2&rf=mojo_yld_table_2,Walt Disney Studios Motion Pictures,2018-04-27,4.0
Incredibles 2,7.6,80.0,PG,"['Animation', 'Action', 'Adventure', '15 June 2018 (USA)\n']","<a href=""/name/nm0083348/"">Brad Bird</a>","$200,000,000",/release/rl2071758337/?ref_=bo_yld_table_3,"$608,581,744","4,410","$608,581,744",Jun 15,https://pro.imdb.com/company/co0226183/boxoffice/?view=releases&ref_=mojo_yld_table_3&rf=mojo_yld_table_3,Walt Disney Studios Motion Pictures,2018-06-15,6.0
Jurassic World: Fallen Kingdom,6.2,51.0,PG-13,"['Action', 'Adventure', 'Sci-Fi', '22 June 2018 (USA)\n']","<a href=""/name/nm1291105/"">J.A. Bayona</a>","$170,000,000",/release/rl1602061825/?ref_=bo_yld_table_4,"$417,719,760","4,485","$417,719,760",Jun 22,https://pro.imdb.com/company/co0005073/boxoffice/?view=releases&ref_=mojo_yld_table_4&rf=mojo_yld_table_4,Universal Pictures,2018-06-22,6.0
Deadpool 2,7.7,66.0,R,"['Action', 'Adventure', 'Comedy', '18 May 2018 (USA)\n']","<a href=""/name/nm0500610/"">David Leitch</a>","$110,000,000",/release/rl2488436225/?ref_=bo_yld_table_5,"$318,491,426","4,349","$318,491,426",May 18,https://pro.imdb.com/company/co0000756/boxoffice/?view=releases&ref_=mojo_yld_table_5&rf=mojo_yld_table_5,Twentieth Century Fox,2018-05-18,5.0
Dr. Seuss' the Grinch,,,,,,,/release/rl3075966465/?ref_=bo_yld_table_6,"$266,280,410","4,141","$270,620,950",Nov 9,https://pro.imdb.com/company/co0005073/boxoffice/?view=releases&ref_=mojo_yld_table_6&rf=mojo_yld_table_6,Universal Pictures,2018-11-09,11.0
Jumanji: Welcome to the Jungle,6.9,58.0,PG-13,"['Action', 'Adventure', 'Comedy', '20 December 2017 (USA)\n']","<a href=""/name/nm0440458/"">Jake Kasdan</a>","$90,000,000",/release/rl3095234049/?ref_=bo_yld_table_7,"$235,512,923","3,849","$404,515,480",Dec 20,https://pro.imdb.com/company/co0026545/boxoffice/?view=releases&ref_=mojo_yld_table_7&rf=mojo_yld_table_7,Sony Pictures Entertainment (SPE),2018-12-20,12.0
Mission: Impossible - Fallout,7.7,86.0,PG-13,"['Action', 'Adventure', 'Thriller', '27 July 2018 (USA)\n']","<a href=""/name/nm0003160/"">Christopher McQuarrie</a>","$178,000,000",/release/rl2449573377/?ref_=bo_yld_table_8,"$220,159,104","4,395","$220,159,104",Jul 27,https://pro.imdb.com/company/co0023400/boxoffice/?view=releases&ref_=mojo_yld_table_8&rf=mojo_yld_table_8,Paramount Pictures,2018-07-27,7.0
Ant-Man and the Wasp,7.1,70.0,PG-13,"['Action', 'Adventure', 'Comedy', '6 July 2018 (USA)\n']","<a href=""/name/nm0715636/"">Peyton Reed</a>","$162,000,000",/release/rl2088535553/?ref_=bo_yld_table_9,"$216,648,740","4,206","$216,648,740",Jul 6,https://pro.imdb.com/company/co0226183/boxoffice/?view=releases&ref_=mojo_yld_table_9&rf=mojo_yld_table_9,Walt Disney Studios Motion Pictures,2018-07-06,7.0
Solo: A Star Wars Story,6.9,62.0,PG-13,"['Action', 'Adventure', 'Sci-Fi', '25 May 2018 (USA)\n']","<a href=""/name/nm0000165/"">Ron Howard</a>","$275,000,000",/release/rl1954383361/?ref_=bo_yld_table_10,"$213,767,512","4,381","$213,767,512",May 25,https://pro.imdb.com/company/co0226183/boxoffice/?view=releases&ref_=mojo_yld_table_10&rf=mojo_yld_table_10,Walt Disney Studios Motion Pictures,2018-05-25,5.0
