0,1,2,3,4
R,"{'name': 'Roger Kumble', 'url': '/person/11873-roger-kumble'}","[{'name': 'Josephine Langford', 'url': '/person/1753914-josephine-langford'}, {'name': 'Hero Fiennes Tiffin', 'url': '/person/1114487-hero-fiennes-tiffin'}, {'name': 'Shane Paul McGhie', 'url': '/person/1684130-shane-paul-mcghie'}, {'name': 'Dylan Sprouse', 'url': '/person/95686-dylan-sprouse'}, {'name': 'Samuel Larsen', 'url': '/person/1224112-samuel-larsen'}, {'name': 'Inanna Sarkis', 'url': '/person/1685330-inanna-sarkis'}, {'name': 'Khadijha Red Thunder', 'url': '/person/2161745-khadijha-red-thunder'}, {'name': 'Charlie Weber', 'url': '/person/147404-charlie-weber'}]",-,"[{'type': 'Romance', 'url': '/genre/10749-romance/movie'}, {'type': 'Drama', 'url': '/genre/18-drama/movie'}]"
PG-13,"{'name': 'Christopher Nolan', 'url': '/person/525-christopher-nolan'}","[{'name': 'John David Washington', 'url': '/person/1117313-john-david-washington'}, {'name': 'Robert Pattinson', 'url': '/person/11288-robert-pattinson'}, {'name': 'Elizabeth Debicki', 'url': '/person/1133349-elizabeth-debicki'}, {'name': 'Kenneth Branagh', 'url': '/person/11181-kenneth-branagh'}, {'name': 'Dimple Kapadia', 'url': '/person/78921-dimple-kapadia'}, {'name': 'Himesh Patel', 'url': '/person/1227717-himesh-patel'}, {'name': 'Aaron Taylor-Johnson', 'url': '/person/27428-aaron-taylor-johnson'}, {'name': 'Michael Caine', 'url': '/person/3895-michael-caine'}]","$205,000,000.00","[{'type': 'Action', 'url': '/genre/28-action/movie'}, {'type': 'Thriller', 'url': '/genre/53-thriller/movie'}, {'type': 'Science Fiction', 'url': '/genre/878-science-fiction/movie'}]"
NR,"{'name': 'Brett Pierce', 'url': '/person/2325400-brett-pierce'}","[{'name': 'John-Paul Howard', 'url': '/person/970508-john-paul-howard'}, {'name': 'Piper Curda', 'url': '/person/1308818-piper-curda'}, {'name': 'Jamison Jones', 'url': '/person/64233-jamison-jones'}, {'name': 'Azie Tesfai', 'url': '/person/134238-azie-tesfai'}, {'name': 'Kevin Bigley', 'url': '/person/1032886-kevin-bigley'}, {'name': 'Gabriela Quezada Bloomgarden', 'url': '/person/2325402-gabriela-quezada-bloomgarden'}, {'name': 'Amy Waller', 'url': '/person/2479465-amy-waller'}, {'name': 'Tug Coker', 'url': '/person/205724-tug-coker'}]",-,"[{'type': 'Horror', 'url': '/genre/27-horror/movie'}]"
PG-13,"{'name': 'Aaron Schneider', 'url': '/person/58292-aaron-schneider'}","[{'name': 'Tom Hanks', 'url': '/person/31-tom-hanks'}, {'name': 'Stephen Graham', 'url': '/person/1115-stephen-graham'}, {'name': 'Rob Morgan', 'url': '/person/1281250-rob-morgan'}, {'name': 'Josh Wiggins', 'url': '/person/1279814-josh-wiggins'}, {'name': 'Tom Brittney', 'url': '/person/1626604-tom-brittney'}, {'name': 'Elisabeth Shue', 'url': '/person/1951-elisabeth-shue'}, {'name': 'Will Pullen', 'url': '/person/1560340-will-pullen'}, {'name': 'Manuel Garcia-Rulfo', 'url': '/person/1168097-manuel-garcia-rulfo'}]","$50,300,000.00","[{'type': 'War', 'url': '/genre/10752-war/movie'}, {'type': 'Action', 'url': '/genre/28-action/movie'}, {'type': 'Drama', 'url': '/genre/18-drama/movie'}]"
R,"{'name': 'Gina Prince-Bythewood', 'url': '/person/71947-gina-prince-bythewood'}","[{'name': 'Charlize Theron', 'url': '/person/6885-charlize-theron'}, {'name': 'KiKi Layne', 'url': '/person/1884703-kiki-layne'}, {'name': 'Matthias Schoenaerts', 'url': '/person/73381-matthias-schoenaerts'}, {'name': 'Marwan Kenzari', 'url': '/person/935235-marwan-kenzari'}, {'name': 'Luca Marinelli', 'url': '/person/509344-luca-marinelli'}, {'name': 'Chiwetel Ejiofor', 'url': '/person/5294-chiwetel-ejiofor'}, {'name': 'Harry Melling', 'url': '/person/10982-harry-melling'}, {'name': 'Van Veronica Ngo', 'url': '/person/91378-van-veronica-ngo'}]","$70,000,000.00","[{'type': 'Action', 'url': '/genre/28-action/movie'}, {'type': 'Fantasy', 'url': '/genre/14-fantasy/movie'}]"
PG-13,"{'name': 'Niki Caro', 'url': '/person/15287-niki-caro'}","[{'name': 'Liu Yifei', 'url': '/person/122503-liu-yifei'}, {'name': 'Jet Li', 'url': '/person/1336-jet-li'}, {'name': 'Tzi Ma', 'url': '/person/21629-tzi-ma'}, {'name': 'Donnie Yen', 'url': '/person/1341-donnie-yen'}, {'name': 'Gong Li', 'url': '/person/643-gong-li'}, {'name': 'Jason Scott Lee', 'url': '/person/58319-jason-scott-lee'}, {'name': 'Yoson An', 'url': '/person/1305610-yoson-an'}, {'name': 'Rosalind Chao', 'url': '/person/74073-rosalind-chao'}]","$200,000,000.00","[{'type': 'Action', 'url': '/genre/28-action/movie'}, {'type': 'Adventure', 'url': '/genre/12-adventure/movie'}, {'type': 'Drama', 'url': '/genre/18-drama/movie'}, {'type': 'Fantasy', 'url': '/genre/14-fantasy/movie'}]"
PG,"{'name': 'Matt Lieberman', 'url': '/person/99363-matt-lieberman'}","[{'name': 'Will Forte', 'url': '/person/62831-will-forte'}, {'name': 'Mark Wahlberg', 'url': '/person/13240-mark-wahlberg'}, {'name': 'Jason Isaacs', 'url': '/person/11355-jason-isaacs'}, {'name': 'Gina Rodriguez', 'url': '/person/180486-gina-rodriguez'}, {'name': 'Zac Efron', 'url': '/person/29222-zac-efron'}, {'name': 'Amanda Seyfried', 'url': '/person/71070-amanda-seyfried'}, {'name': 'Kiersey Clemons', 'url': '/person/1253355-kiersey-clemons'}, {'name': 'Ken Jeong', 'url': '/person/83586-ken-jeong'}]",-,"[{'type': 'Family', 'url': '/genre/10751-family/movie'}, {'type': 'Animation', 'url': '/genre/16-animation/movie'}, {'type': 'Comedy', 'url': '/genre/35-comedy/movie'}, {'type': 'Adventure', 'url': '/genre/12-adventure/movie'}]"
TV-14,"{'name': 'Gil Grant', 'url': '/person/1224677-gil-grant'}","[{'name': 'Tia Carrere', 'url': '/person/13445-tia-carrere'}, {'name': 'Christien Anholt', 'url': '/person/29409-christien-anholt'}, {'name': 'Lindy Booth', 'url': '/person/51936-lindy-booth'}, {'name': 'Tanja Reichert', 'url': '/person/68634-tanja-reichert'}, {'name': 'Malin Åkerman', 'url': '/person/50463-malin-akerman'}, {'name': 'Juan Carlos Velis', 'url': '/person/1360969-juan-carlos-velis'}, {'name': 'Louis Mandylor', 'url': '/person/54649-louis-mandylor'}, {'name': 'Carlo Rota', 'url': '/person/54793-carlo-rota'}, {'name': 'Simon MacCorkindale', 'url': '/person/24743-simon-maccorkindale'}]",Scripted,"[{'type': 'Sci-Fi & Fantasy', 'url': '/genre/10765-sci-fi-fantasy/tv'}, {'type': 'Mystery', 'url': '/genre/9648-mystery/tv'}, {'type': 'Action & Adventure', 'url': '/genre/10759-action-adventure/tv'}]"
R,"{'name': 'Leigh Whannell', 'url': '/person/2128-leigh-whannell'}","[{'name': 'Elisabeth Moss', 'url': '/person/32798-elisabeth-moss'}, {'name': 'Aldis Hodge', 'url': '/person/83860-aldis-hodge'}, {'name': 'Storm Reid', 'url': '/person/1344344-storm-reid'}, {'name': 'Michael Dorman', 'url': '/person/76068-michael-dorman'}, {'name': 'Harriet Dyer', 'url': '/person/1539693-harriet-dyer'}, {'name': 'Oliver Jackson-Cohen', 'url': '/person/551020-oliver-jackson-cohen'}, {'name': 'Benedict Hardie', 'url': '/person/1275904-benedict-hardie'}, {'name': 'Zara Michales', 'url': '/person/1673717-zara-michales'}]","$7,000,000.00","[{'type': 'Thriller', 'url': '/genre/53-thriller/movie'}, {'type': 'Science Fiction', 'url': '/genre/878-science-fiction/movie'}, {'type': 'Horror', 'url': '/genre/27-horror/movie'}]"
PG,"{'name': 'Glenn Berger', 'url': '/person/57743-glenn-berger'}","[{'name': 'Anna Kendrick', 'url': '/person/84223-anna-kendrick'}, {'name': 'Justin Timberlake', 'url': '/person/12111-justin-timberlake'}, {'name': 'Ron Funches', 'url': '/person/1260038-ron-funches'}, {'name': 'Rachel Bloom', 'url': '/person/1453801-rachel-bloom'}, {'name': 'James Corden', 'url': '/person/55466-james-corden'}, {'name': 'Kelly Clarkson', 'url': '/person/155488-kelly-clarkson'}, {'name': 'Anderson .Paak', 'url': '/person/1708542-anderson-paak'}, {'name': 'Sam Rockwell', 'url': '/person/6807-sam-rockwell'}]",-,"[{'type': 'Animation', 'url': '/genre/16-animation/movie'}, {'type': 'Family', 'url': '/genre/10751-family/movie'}, {'type': 'Comedy', 'url': '/genre/35-comedy/movie'}, {'type': 'Fantasy', 'url': '/genre/14-fantasy/movie'}, {'type': 'Adventure', 'url': '/genre/12-adventure/movie'}, {'type': 'Music', 'url': '/genre/10402-music/movie'}]"
R,"{'name': 'Rod Lurie', 'url': '/person/21526-rod-lurie'}","[{'name': 'Scott Eastwood', 'url': '/person/928572-scott-eastwood'}, {'name': 'Caleb Landry Jones', 'url': '/person/572541-caleb-landry-jones'}, {'name': 'Orlando Bloom', 'url': '/person/114-orlando-bloom'}, {'name': 'Ernest Cavazos', 'url': '/person/2032852-ernest-cavazos'}, {'name': 'Taylor John Smith', 'url': '/person/1369329-taylor-john-smith'}, {'name': 'Cory Hardrict', 'url': '/person/74302-cory-hardrict'}, {'name': 'Milo Gibson', 'url': '/person/1667883-milo-gibson'}, {'name': 'Bobby Lockwood', 'url': '/person/1253195-bobby-lockwood'}]",-,"[{'type': 'War', 'url': '/genre/10752-war/movie'}, {'type': 'Drama', 'url': '/genre/18-drama/movie'}, {'type': 'History', 'url': '/genre/36-history/movie'}, {'type': 'Action', 'url': '/genre/28-action/movie'}]"
UA,"{'name': 'Ram Gopal Varma', 'url': '/person/76813-ram-gopal-varma'}","[{'name': 'Nandu', 'url': '/person/1071558-nandu'}, {'name': 'Anaika Soti', 'url': '/person/1339549-anaika-soti'}, {'name': 'Krishnudu', 'url': '/person/237250-krishnudu'}, {'name': 'Posani Krishna Murali', 'url': '/person/1163230-posani-krishna-murali'}]",-,"[{'type': 'Romance', 'url': '/genre/10749-romance/movie'}]"
R,"{'name': 'Joe Carnahan', 'url': '/person/40223-joe-carnahan'}","[{'name': 'Will Smith', 'url': '/person/2888-will-smith'}, {'name': 'Martin Lawrence', 'url': '/person/78029-martin-lawrence'}, {'name': 'Paola Nuñez', 'url': '/person/544442-paola-nunez'}, {'name': 'Vanessa Hudgens', 'url': '/person/67599-vanessa-hudgens'}, {'name': 'Alexander Ludwig', 'url': '/person/23498-alexander-ludwig'}, {'name': 'Charles Melton', 'url': '/person/1907002-charles-melton'}, {'name': 'Kate del Castillo', 'url': '/person/36628-kate-del-castillo'}, {'name': 'Nicky Jam', 'url': '/person/1688196-nicky-jam'}]","$90,000,000.00","[{'type': 'Thriller', 'url': '/genre/53-thriller/movie'}, {'type': 'Action', 'url': '/genre/28-action/movie'}, {'type': 'Crime', 'url': '/genre/80-crime/movie'}]"
PG,"{'name': 'Dan Scanlon', 'url': '/person/225976-dan-scanlon'}","[{'name': 'Tom Holland', 'url': '/person/1136406-tom-holland'}, {'name': 'Chris Pratt', 'url': '/person/73457-chris-pratt'}, {'name': 'Julia Louis-Dreyfus', 'url': '/person/15886-julia-louis-dreyfus'}, {'name': 'Octavia Spencer', 'url': '/person/6944-octavia-spencer'}, {'name': 'Mel Rodriguez', 'url': '/person/59675-mel-rodriguez'}, {'name': 'Kyle Bornheimer', 'url': '/person/1215836-kyle-bornheimer'}, {'name': 'Lena Waithe', 'url': '/person/1059572-lena-waithe'}, {'name': 'Ali Wong', 'url': '/person/591835-ali-wong'}]","$200,000,000.00","[{'type': 'Animation', 'url': '/genre/16-animation/movie'}, {'type': 'Family', 'url': '/genre/10751-family/movie'}, {'type': 'Adventure', 'url': '/genre/12-adventure/movie'}, {'type': 'Comedy', 'url': '/genre/35-comedy/movie'}, {'type': 'Fantasy', 'url': '/genre/14-fantasy/movie'}]"
PG,"{'name': 'Autumn de Wilde', 'url': '/person/937147-autumn-de-wilde'}","[{'name': 'Anya Taylor-Joy', 'url': '/person/1397778-anya-taylor-joy'}, {'name': 'Johnny Flynn', 'url': '/person/137108-johnny-flynn'}, {'name': ""Josh O'Connor"", 'url': '/person/1206334-josh-o-connor'}, {'name': 'Callum Turner', 'url': '/person/1371041-callum-turner'}, {'name': 'Mia Goth', 'url': '/person/1137824-mia-goth'}, {'name': 'Miranda Hart', 'url': '/person/62965-miranda-hart'}, {'name': 'Bill Nighy', 'url': '/person/2440-bill-nighy'}, {'name': 'Rupert Graves', 'url': '/person/11278-rupert-graves'}]",-,"[{'type': 'Comedy', 'url': '/genre/35-comedy/movie'}, {'type': 'Drama', 'url': '/genre/18-drama/movie'}, {'type': 'Romance', 'url': '/genre/10749-romance/movie'}]"
R,"{'name': 'Cathy Yan', 'url': '/person/1936668-cathy-yan'}","[{'name': 'Margot Robbie', 'url': '/person/234352-margot-robbie'}, {'name': 'Ewan McGregor', 'url': '/person/3061-ewan-mcgregor'}, {'name': 'Mary Elizabeth Winstead', 'url': '/person/17628-mary-elizabeth-winstead'}, {'name': 'Jurnee Smollett', 'url': '/person/59017-jurnee-smollett'}, {'name': 'Rosie Perez', 'url': '/person/4810-rosie-perez'}, {'name': 'Chris Messina', 'url': '/person/61659-chris-messina'}, {'name': 'Ella Jay Basco', 'url': '/person/2175867-ella-jay-basco'}, {'name': 'Ali Wong', 'url': '/person/591835-ali-wong'}]","$75,000,000.00","[{'type': 'Action', 'url': '/genre/28-action/movie'}, {'type': 'Crime', 'url': '/genre/80-crime/movie'}, {'type': 'Comedy', 'url': '/genre/35-comedy/movie'}]"
PG-13,"{'name': 'Stella Meghie', 'url': '/person/1572145-stella-meghie'}","[{'name': 'Issa Rae', 'url': '/person/1455336-issa-rae'}, {'name': 'Lakeith Stanfield', 'url': '/person/1200864-lakeith-stanfield'}, {'name': 'Chanté Adams', 'url': '/person/1716713-chante-adams'}, {'name': ""Y'lan Noel"", 'url': '/person/1694278-y-lan-noel'}, {'name': 'Kelvin Harrison Jr.', 'url': '/person/1344361-kelvin-harrison-jr'}, {'name': 'Lil Rel Howery', 'url': '/person/1488961-lil-rel-howery'}, {'name': 'Teyonah Parris', 'url': '/person/970219-teyonah-parris'}, {'name': 'Jasmine Cephas Jones', 'url': '/person/1291890-jasmine-cephas-jones'}]",-,"[{'type': 'Drama', 'url': '/genre/18-drama/movie'}, {'type': 'Romance', 'url': '/genre/10749-romance/movie'}]"
PG-13,"{'name': 'William Brent Bell', 'url': '/person/62768-william-brent-bell'}","[{'name': 'Katie Holmes', 'url': '/person/3897-katie-holmes'}, {'name': 'Christopher Convery', 'url': '/person/1960997-christopher-convery'}, {'name': 'Owain Yeoman', 'url': '/person/61527-owain-yeoman'}, {'name': 'Ralph Ineson', 'url': '/person/202032-ralph-ineson'}, {'name': 'Anjali Jay', 'url': '/person/87816-anjali-jay'}, {'name': 'Oliver Rice', 'url': '/person/1368508-oliver-rice'}, {'name': 'Joely Collins', 'url': '/person/173362-joely-collins'}, {'name': 'Natalie Moon', 'url': '/person/1451352-natalie-moon'}]","$10,000,000.00","[{'type': 'Horror', 'url': '/genre/27-horror/movie'}, {'type': 'Mystery', 'url': '/genre/9648-mystery/movie'}, {'type': 'Thriller', 'url': '/genre/53-thriller/movie'}]"
PG-13,"{'name': 'Jake Kasdan', 'url': '/person/51851-jake-kasdan'}","[{'name': 'Dwayne Johnson', 'url': '/person/18918-dwayne-johnson'}, {'name': 'Kevin Hart', 'url': '/person/55638-kevin-hart'}, {'name': 'Jack Black', 'url': '/person/70851-jack-black'}, {'name': 'Karen Gillan', 'url': '/person/543261-karen-gillan'}, {'name': 'Awkwafina', 'url': '/person/1625558-awkwafina'}, {'name': 'Nick Jonas', 'url': '/person/130565-nick-jonas'}, {'name': 'Alex Wolff', 'url': '/person/934281-alex-wolff'}, {'name': 'Morgan Turner', 'url': '/person/1188567-morgan-turner'}]","$125,000,000.00","[{'type': 'Adventure', 'url': '/genre/12-adventure/movie'}, {'type': 'Comedy', 'url': '/genre/35-comedy/movie'}, {'type': 'Fantasy', 'url': '/genre/14-fantasy/movie'}]"
R,"{'name': 'Sam Mendes', 'url': '/person/39-sam-mendes'}","[{'name': 'George MacKay', 'url': '/person/146750-george-mackay'}, {'name': 'Dean-Charles Chapman', 'url': '/person/1332971-dean-charles-chapman'}, {'name': 'Mark Strong', 'url': '/person/2983-mark-strong'}, {'name': 'Andrew Scott', 'url': '/person/125660-andrew-scott'}, {'name': 'Richard Madden', 'url': '/person/512991-richard-madden'}, {'name': 'Claire Duburcq', 'url': '/person/2385743-claire-duburcq'}, {'name': 'Colin Firth', 'url': '/person/5472-colin-firth'}, {'name': 'Benedict Cumberbatch', 'url': '/person/71580-benedict-cumberbatch'}]","$100,000,000.00","[{'type': 'War', 'url': '/genre/10752-war/movie'}, {'type': 'Drama', 'url': '/genre/18-drama/movie'}, {'type': 'Action', 'url': '/genre/28-action/movie'}, {'type': 'History', 'url': '/genre/36-history/movie'}]"
PG-13,"{'name': 'J.J. Abrams', 'url': '/person/15344-j-j-abrams'}","[{'name': 'Carrie Fisher', 'url': '/person/4-carrie-fisher'}, {'name': 'Mark Hamill', 'url': '/person/2-mark-hamill'}, {'name': 'Daisy Ridley', 'url': '/person/1315036-daisy-ridley'}, {'name': 'Adam Driver', 'url': '/person/1023139-adam-driver'}, {'name': 'John Boyega', 'url': '/person/236695-john-boyega'}, {'name': 'Oscar Isaac', 'url': '/person/25072-oscar-isaac'}, {'name': 'Anthony Daniels', 'url': '/person/6-anthony-daniels'}, {'name': 'Naomi Ackie', 'url': '/person/1537686-naomi-ackie'}]","$250,000,000.00","[{'type': 'Action', 'url': '/genre/28-action/movie'}, {'type': 'Adventure', 'url': '/genre/12-adventure/movie'}, {'type': 'Science Fiction', 'url': '/genre/878-science-fiction/movie'}]"
PG-13,"{'name': 'Rian Johnson', 'url': '/person/67367-rian-johnson'}","[{'name': 'Daniel Craig', 'url': '/person/8784-daniel-craig'}, {'name': 'Chris Evans', 'url': '/person/16828-chris-evans'}, {'name': 'Ana de Armas', 'url': '/person/224513-ana-de-armas'}, {'name': 'Jamie Lee Curtis', 'url': '/person/8944-jamie-lee-curtis'}, {'name': 'Michael Shannon', 'url': '/person/335-michael-shannon'}, {'name': 'Don Johnson', 'url': '/person/25129-don-johnson'}, {'name': 'Toni Collette', 'url': '/person/3051-toni-collette'}, {'name': 'Lakeith Stanfield', 'url': '/person/1200864-lakeith-stanfield'}]","$40,000,000.00","[{'type': 'Mystery', 'url': '/genre/9648-mystery/movie'}, {'type': 'Thriller', 'url': '/genre/53-thriller/movie'}, {'type': 'Comedy', 'url': '/genre/35-comedy/movie'}, {'type': 'Drama', 'url': '/genre/18-drama/movie'}, {'type': 'Crime', 'url': '/genre/80-crime/movie'}]"
